y	x
1	8.87904870689557
1	9.53964502103344
1	13.1174166282982
1	10.1410167828492
1	10.2585754703219
1	13.4301299737666
1	10.9218324119784
1	7.46987753078693
1	8.62629429621295
1	9.10867605980008
1	12.4481635948789
1	10.7196276541147
1	10.8015429011881
1	10.2213654318902
1	8.88831773049185
1	13.5738262736062
1	10.9957009564585
1	6.06676568674072
1	11.4027118031274
1	9.05441718454413
1	7.86435258802631
1	9.56405017068341
1	7.94799110338552
1	8.54221754141772
1	8.74992146430149
1	6.62661337851517
1	11.6755740889891
1	10.306746235673
1	7.72372612597611
1	12.5076298421399
